open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1782172800000,1727.32,1727.89,1723.42,1724.65,19453.635,1782173699999,33570771.26872,37879,7117.700,12283478.22192,0
1782173700000,1724.65,1726.26,1718.61,1721.18,22006.137,1782174599999,37886569.86945,33923,10299.186,17732425.35662,0
1782174600000,1721.19,1728.67,1721.18,1728.46,22865.824,1782175499999,39456183.91503,37709,14319.279,24705916.86573,0
1782175500000,1728.46,1731.30,1726.23,1730.42,28183.463,1782176399999,48725208.58231,35453,18357.337,31738398.57141,0
1782176400000,1730.41,1735.63,1730.28,1731.68,36143.228,1782177299999,62621538.93680,47133,21585.739,37399998.85226,0
1782177300000,1731.68,1734.76,1730.56,1732.92,12984.105,1782178199999,22492843.54346,26722,7333.300,12704140.32753,0
1782178200000,1732.92,1734.14,1726.55,1727.34,23917.234,1782179099999,41352734.02753,38951,10115.224,17487326.78563,0
1782179100000,1727.33,1731.14,1720.24,1729.82,44051.375,1782179999999,75995714.71735,68593,24140.541,41654216.64236,0
1782180000000,1729.82,1731.44,1725.40,1728.61,15858.143,1782180899999,27411479.58894,34397,6590.645,11393264.95626,0
1782180900000,1728.61,1733.00,1728.60,1730.13,16240.436,1782181799999,28105860.40131,33227,9938.278,17200151.89280,0
1782181800000,1730.13,1732.50,1729.60,1731.56,6740.600,1782182699999,11667515.18976,20048,4431.531,7670437.68330,0
1782182700000,1731.56,1734.36,1730.50,1731.91,11156.829,1782183599999,19329760.64857,21188,5953.700,10314869.19792,0
1782183600000,1731.91,1732.38,1725.02,1727.82,25642.412,1782184499999,44308740.35111,34288,10854.125,18752152.86645,0
1782184500000,1727.82,1730.00,1726.66,1728.91,9334.452,1782185399999,16131438.42471,20882,5183.674,8958390.64842,0
1782185400000,1728.90,1728.90,1725.99,1727.07,11479.063,1782186299999,19825278.67268,20477,4538.607,7838167.76199,0
1782186300000,1727.06,1729.64,1726.69,1729.10,7055.675,1782187199999,12193806.21692,16200,4617.048,7979423.50963,0
1782187200000,1729.09,1730.49,1727.59,1729.85,11167.842,1782188099999,19313909.10292,17739,5187.412,8972023.15656,0
1782188100000,1729.85,1729.88,1723.65,1727.25,17864.562,1782188999999,30840160.69476,25630,6315.375,10899556.00622,0
1782189000000,1727.24,1727.25,1721.70,1722.71,27301.187,1782189899999,47053021.25676,35324,10730.277,18492731.66136,0
1782189900000,1722.71,1723.67,1716.61,1718.44,56516.607,1782190799999,97191674.66161,58818,24122.225,41489603.60787,0
1782190800000,1718.44,1720.64,1716.50,1718.68,38162.703,1782191699999,65607689.94159,49113,18894.247,32486322.50879,0
1782191700000,1718.68,1719.37,1709.09,1712.86,109403.388,1782192599999,187460406.26232,101492,45373.859,77748724.37378,0
1782192600000,1712.85,1714.27,1709.66,1713.58,48280.620,1782193499999,82669944.16220,71874,29309.390,50188623.46949,0
1782193500000,1713.58,1714.48,1711.17,1712.78,26488.513,1782194399999,45369897.22122,41075,12908.189,22111880.01562,0
1782194400000,1712.78,1713.02,1702.37,1706.57,94757.715,1782195299999,161743855.04540,98946,35424.329,60455106.49532,0
1782195300000,1706.57,1708.47,1680.00,1686.46,314528.524,1782196199999,531517360.04602,265006,133284.418,225089297.73900,0
1782196200000,1686.46,1691.69,1682.50,1689.35,93948.425,1782197099999,158543299.12359,100861,51761.893,87356938.95877,0
1782197100000,1689.35,1692.61,1688.46,1691.29,41113.070,1782197999999,69517129.68345,51268,25975.809,43923170.34575,0
1782198000000,1691.29,1693.68,1690.30,1693.10,33486.654,1782198899999,56661124.14442,44907,17362.799,29379596.79318,0
1782198900000,1693.10,1695.67,1691.47,1692.43,26158.466,1782199799999,44296228.87919,32998,13494.882,22852686.04494,0
1782199800000,1692.43,1692.66,1686.00,1686.68,63948.451,1782200699999,108004754.32992,61390,26147.403,44160052.35031,0
1782200700000,1686.68,1688.89,1681.01,1681.96,46700.635,1782201599999,78694557.84226,48637,18172.929,30628912.45550,0
1782201600000,1681.97,1683.88,1672.84,1674.80,146341.993,1782202499999,245682465.98701,131266,63858.493,107234224.25220,0
1782202500000,1674.80,1674.80,1633.33,1641.22,571793.592,1782203399999,944815941.23859,460653,249219.311,411664477.37388,0
1782203400000,1641.22,1651.51,1640.84,1648.24,136891.351,1782204299999,225587336.54865,135710,80680.344,132944516.33590,0
1782204300000,1648.24,1649.40,1645.03,1647.36,52956.628,1782205199999,87240608.54344,59637,30163.888,49695516.92559,0
1782205200000,1647.35,1651.30,1647.15,1649.94,38183.241,1782206099999,62988608.51749,50818,19313.973,31861661.17105,0
1782206100000,1649.94,1653.50,1649.21,1652.90,39468.466,1782206999999,65191496.73944,37730,21097.139,34848918.80270,0
1782207000000,1652.90,1653.23,1647.25,1648.83,36617.914,1782207899999,60431874.11496,40089,15520.775,25617494.08450,0
1782207900000,1648.84,1651.08,1648.22,1649.94,20340.454,1782208799999,33559427.42919,25855,11605.355,19147352.96830,0
1782208800000,1649.95,1657.96,1649.94,1655.41,50294.701,1782209699999,83266756.98225,55209,32754.749,54226747.99882,0
1782209700000,1655.41,1655.42,1652.12,1653.08,22728.237,1782210599999,37584466.77921,31846,8825.117,14594457.96704,0
1782210600000,1653.08,1653.43,1648.30,1649.59,27584.803,1782211499999,45535820.69519,35441,11906.518,19654921.14441,0
1782211500000,1649.60,1652.24,1648.50,1651.75,30106.264,1782212399999,49689669.72877,26951,22509.263,37150736.75931,0
1782212400000,1651.75,1655.00,1651.66,1655.00,20148.671,1782213299999,33315347.45899,29603,10343.868,17104307.54586,0
1782213300000,1655.00,1662.66,1654.21,1659.61,68964.409,1782214199999,114436194.20169,65315,38391.124,63715940.50969,0
1782214200000,1659.61,1662.66,1658.26,1660.38,37519.069,1782215099999,62311686.29138,40112,22006.999,36553779.01003,0
1782215100000,1660.37,1662.91,1656.87,1659.93,32938.082,1782215999999,54658308.70882,37015,14920.703,24763681.51958,0
1782216000000,1659.93,1661.57,1655.44,1657.58,26760.203,1782216899999,44379431.36925,35326,11898.302,19734494.28035,0
1782216900000,1657.58,1659.16,1655.13,1657.66,20154.527,1782217799999,33395682.60535,28871,9724.564,16113039.39205,0
1782217800000,1657.66,1659.99,1654.04,1657.26,28733.547,1782218699999,47618747.22423,41210,14842.793,24603163.19696,0
1782218700000,1657.25,1657.96,1652.75,1653.63,39632.821,1782219599999,65590076.97074,44872,19528.602,32317991.52045,0
1782219600000,1653.65,1654.27,1648.65,1652.00,79071.193,1782220499999,130563845.06173,70475,37532.812,61973034.44983,0
1782220500000,1652.00,1652.00,1646.29,1648.28,54413.170,1782221399999,89713934.90076,61726,27548.012,45421854.17812,0
1782221400000,1648.28,1661.09,1643.66,1658.22,171713.762,1782222299999,284199206.35856,201916,89658.377,148411667.80487,0
1782222300000,1658.21,1663.33,1655.30,1662.06,86591.277,1782223199999,143758177.47861,118010,41233.159,68472320.64873,0
1782223200000,1662.06,1667.57,1658.49,1666.71,81674.719,1782224099999,135826602.56647,113463,45308.142,75364658.32010,0
1782224100000,1666.71,1669.73,1657.05,1661.20,86780.712,1782224999999,144401344.73561,113043,42253.503,70335647.67011,0
1782225000000,1661.20,1672.00,1658.58,1662.47,82316.981,1782225899999,137081966.52150,111729,42804.080,71305874.63816,0
1782225900000,1662.47,1665.32,1659.21,1661.26,48867.193,1782226799999,81201977.27577,93181,20970.939,34847639.64913,0
1782226800000,1661.27,1662.74,1653.67,1656.06,57964.773,1782227699999,96077205.60564,88939,24282.360,40250809.69067,0
1782227700000,1656.07,1656.07,1650.82,1653.26,43068.836,1782228599999,71214810.53945,67404,21039.902,34794605.38969,0
1782228600000,1653.26,1660.23,1653.01,1655.01,34067.886,1782229499999,56442109.68930,56814,21235.028,35182083.01081,0
1782229500000,1655.00,1659.00,1650.30,1658.90,29811.777,1782230399999,49323502.64927,51939,17729.144,29339906.36362,0
1782230400000,1658.90,1673.60,1656.85,1667.23,144229.328,1782231299999,240461842.27215,122121,80128.202,133585035.87351,0
1782231300000,1667.23,1668.23,1660.40,1661.45,33188.106,1782232199999,55204293.15069,51262,16629.554,27657284.78939,0
1782232200000,1661.44,1662.35,1659.57,1661.71,17926.277,1782233099999,29776511.82139,33044,9577.932,15910240.26806,0
1782233100000,1661.70,1662.32,1657.41,1658.55,19044.158,1782233999999,31602809.05383,36642,7984.924,13250689.45577,0
1782234000000,1658.55,1660.47,1653.79,1657.07,33104.024,1782234899999,54854095.43914,52645,15804.675,26194948.00699,0
1782234900000,1657.07,1662.80,1656.73,1662.08,20175.719,1782235799999,33493192.89736,34408,11880.425,19720275.34929,0
1782235800000,1662.08,1664.21,1656.82,1658.67,19274.817,1782236699999,31999251.47874,40847,8978.640,14908636.73897,0
1782236700000,1658.66,1659.79,1653.57,1656.03,16224.382,1782237599999,26873948.79950,33551,7374.097,12214652.42438,0
1782237600000,1656.03,1659.85,1654.14,1657.28,17151.827,1782238499999,28421078.92825,37356,9299.427,15409336.02443,0
1782238500000,1657.28,1659.32,1655.05,1656.72,16175.205,1782239399999,26802636.45848,35151,7669.004,12708020.39399,0
1782239400000,1656.72,1656.72,1649.15,1650.27,37666.922,1782240299999,62244687.25110,50428,16271.067,26890286.80144,0
1782240300000,1650.26,1656.60,1649.03,1654.65,32507.699,1782241199999,53736719.92063,47222,17413.791,28782022.26768,0
1782241200000,1654.65,1661.20,1654.59,1659.02,17308.078,1782242099999,28705387.30616,36763,9117.342,15120933.27583,0
1782242100000,1659.02,1661.17,1655.58,1661.01,14085.948,1782242999999,23358511.93978,32396,8084.719,13406664.18303,0
1782243000000,1661.01,1662.12,1657.39,1657.47,16671.932,1782243899999,27678485.69729,32767,8496.982,14107972.11963,0
1782243900000,1657.46,1663.30,1656.55,1661.96,23807.244,1782244799999,39529461.20674,50904,14315.089,23766086.69781,0
1782244800000,1661.97,1666.99,1661.96,1663.57,28832.809,1782245699999,48004649.96766,45273,15448.581,25720791.00933,0
1782245700000,1663.57,1664.97,1661.53,1663.45,11672.271,1782246599999,19413121.94415,23335,5895.533,9806064.93499,0
1782246600000,1663.45,1663.45,1661.23,1662.35,9600.919,1782247499999,15960102.48209,19295,4635.772,7706046.76199,0
1782247500000,1662.34,1663.68,1660.46,1663.40,7580.586,1782248399999,12600754.34360,15927,3964.435,6590260.35649,0
1782248400000,1663.40,1666.97,1662.77,1664.47,13308.560,1782249299999,22151032.07312,23172,6091.948,10139094.67209,0
1782249300000,1664.47,1666.30,1663.62,1666.14,8590.048,1782250199999,14303545.94594,13540,4805.414,8002015.08410,0
1782250200000,1666.13,1666.99,1664.83,1666.03,8914.554,1782251099999,14852977.51860,13293,4891.200,8149269.66666,0
1782251100000,1666.03,1667.80,1665.17,1666.05,14521.602,1782251999999,24199577.85614,24452,7854.864,13091044.74362,0
1782252000000,1666.04,1671.50,1665.56,1670.50,20367.520,1782252899999,33996722.65847,31107,11978.940,19994464.38563,0
1782252900000,1670.50,1672.12,1663.11,1664.71,24125.627,1782253799999,40216884.08804,37388,9363.283,15609956.84636,0
1782253800000,1664.71,1665.69,1662.48,1662.88,19896.444,1782254699999,33100048.75269,22745,6836.360,11372554.21006,0
1782254700000,1662.87,1665.18,1662.22,1663.84,11385.072,1782255599999,18940645.04460,18681,5432.375,9037686.99518,0
1782255600000,1663.83,1663.86,1659.27,1660.57,33390.688,1782256499999,55465076.58706,41160,14015.249,23279833.61142,0
1782256500000,1660.57,1665.12,1660.57,1663.19,19519.207,1782257399999,32463798.78000,26147,10928.294,18174859.43632,0
1782257400000,1663.19,1664.16,1661.14,1661.94,18749.116,1782258299999,31171960.42072,21349,10915.005,18147254.16542,0
1782258300000,1661.93,1668.75,1661.45,1666.40,19230.187,1782259199999,32040611.30063,32033,11537.647,19221738.34085,0
