open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1777593600000,2256.50,2264.97,2256.03,2258.84,53395.836,1777597199999,120745053.98520,83724,29762.192,67300141.19231,0
1777597200000,2258.84,2269.57,2258.55,2266.54,64623.659,1777600799999,146387959.80438,88302,30197.696,68401179.18798,0
1777600800000,2266.54,2268.91,2262.99,2265.70,47198.776,1777604399999,106926303.46389,66297,21215.583,48068187.05296,0
1777604400000,2265.69,2294.99,2264.79,2281.60,325167.503,1777607999999,742401734.05058,302752,182674.224,416978873.39640,0
1777608000000,2281.60,2284.69,2276.25,2278.75,87987.622,1777611599999,200635135.26040,106160,39541.959,90172139.72570,0
1777611600000,2278.75,2285.80,2277.04,2282.21,50883.213,1777615199999,116143808.56727,70433,29158.281,66558937.55365,0
1777615200000,2282.22,2285.86,2270.62,2276.14,109870.258,1777618799999,250365376.34179,117281,55086.908,125546477.09254,0
1777618800000,2276.14,2280.18,2272.00,2278.54,65697.135,1777622399999,149537619.87968,81017,32468.685,73908514.55599,0
1777622400000,2278.55,2287.49,2276.16,2285.69,99353.706,1777625999999,226920549.10075,116051,50946.253,116354711.30349,0
1777626000000,2285.69,2285.91,2278.60,2280.75,57322.434,1777629599999,130817473.41404,69184,27087.457,61818907.99213,0
1777629600000,2280.76,2284.98,2275.68,2281.31,54040.027,1777633199999,123216663.85950,69936,28584.581,65181036.12427,0
1777633200000,2281.31,2292.33,2280.50,2285.32,78666.108,1777636799999,179804086.92145,96816,43454.301,99331216.24094,0
1777636800000,2285.32,2311.50,2282.68,2300.05,450630.067,1777640399999,1036929552.24854,365238,234810.039,540283456.48029,0
1777640400000,2300.06,2323.25,2300.05,2317.06,363493.654,1777643999999,840380006.45805,367431,198276.422,458471824.56160,0
1777644000000,2317.05,2324.64,2300.10,2306.80,276377.663,1777647599999,639016445.73005,304821,128252.413,296587560.48481,0
1777647600000,2306.80,2315.94,2297.00,2306.86,178466.574,1777651199999,411567858.88440,241629,87849.796,202650917.94719,0
1777651200000,2306.86,2313.33,2297.04,2300.82,163102.502,1777654799999,375710593.79408,219949,82376.013,189799395.78509,0
1777654800000,2300.81,2312.78,2297.58,2310.69,98383.902,1777658399999,226774713.01018,135109,57998.392,133680416.86598,0
1777658400000,2310.70,2311.49,2302.41,2303.48,62356.705,1777661999999,143860967.00056,108353,33520.752,77335712.86242,0
1777662000000,2303.47,2306.79,2301.11,2303.88,40874.827,1777665599999,94188450.52929,75965,22414.945,51649805.18558,0
1777665600000,2303.89,2305.10,2278.00,2283.87,206711.796,1777669199999,473462691.12926,174536,86463.497,198024977.96446,0
1777669200000,2283.87,2293.20,2282.40,2291.43,97238.020,1777672799999,222451308.33814,102896,53375.881,122120720.15460,0
1777672800000,2291.42,2298.27,2289.41,2292.17,49785.833,1777676399999,114233112.04198,69522,25391.015,58257917.94618,0
1777676400000,2292.16,2295.38,2287.79,2294.34,36543.572,1777679999999,83738091.45212,54225,19440.346,44546742.65819,0
1777680000000,2294.34,2298.42,2291.41,2296.40,45702.884,1777683599999,104898799.44115,64640,24224.297,55601319.99197,0
1777683600000,2296.40,2299.41,2294.35,2297.52,41372.968,1777687199999,95036602.96588,62814,19799.742,45482619.21557,0
1777687200000,2297.51,2308.09,2294.04,2302.20,67397.581,1777690799999,155050134.06025,82611,40010.349,92066613.94871,0
1777690800000,2302.20,2307.00,2299.59,2303.06,45690.817,1777694399999,105242218.23054,68624,22316.613,51409061.67095,0
1777694400000,2303.06,2303.91,2298.30,2300.06,39671.952,1777697999999,91271452.19756,53807,12738.279,29308393.58560,0
1777698000000,2300.07,2300.57,2295.13,2298.18,37170.474,1777701599999,85428938.55671,53599,16487.214,37894011.22920,0
1777701600000,2298.19,2305.35,2295.96,2304.24,43679.796,1777705199999,100480719.87888,52126,23918.945,55029559.00012,0
1777705200000,2304.25,2305.12,2299.66,2299.77,31014.006,1777708799999,71415084.76830,40026,14312.096,32957162.17364,0
1777708800000,2299.78,2303.40,2297.51,2302.19,26272.829,1777712399999,60453700.25974,36725,14284.984,32871400.32982,0
1777712400000,2302.19,2306.90,2302.17,2304.13,27811.747,1777715999999,64091803.69963,37754,15398.075,35485453.86080,0
1777716000000,2304.13,2305.00,2301.00,2302.36,25972.019,1777719599999,59808014.20867,36205,10433.935,24027250.31435,0
1777719600000,2302.35,2304.08,2299.04,2301.00,32488.697,1777723199999,74759215.81318,43031,15332.065,35280131.08880,0
1777723200000,2300.99,2304.54,2299.84,2302.38,23059.825,1777726799999,53095628.06763,33925,12432.642,28626517.03891,0
1777726800000,2302.39,2311.09,2302.39,2307.14,77125.341,1777730399999,177972468.47597,77715,49096.638,113291715.18349,0
1777730400000,2307.13,2307.82,2304.00,2305.28,30111.318,1777733999999,69424112.03202,47426,17222.447,39708186.87478,0
1777734000000,2305.28,2308.84,2304.12,2307.86,24212.536,1777737599999,55846472.52254,36941,14529.398,33513967.82787,0
1777737600000,2307.86,2312.94,2306.61,2308.18,51711.439,1777741199999,119426527.35997,71730,30503.682,70453977.00143,0
1777741200000,2308.17,2309.61,2304.16,2304.74,30937.778,1777744799999,71353586.85312,39600,11126.137,25662340.52874,0
1777744800000,2304.74,2310.73,2302.32,2308.88,43477.727,1777748399999,100281799.63149,53786,23407.810,53994455.71408,0
1777748400000,2308.87,2311.64,2307.75,2310.15,20976.337,1777751999999,48456940.02860,32905,12118.301,27995369.12722,0
1777752000000,2310.15,2310.72,2308.41,2310.33,17688.586,1777755599999,40853193.11221,26805,8397.694,19395473.06089,0
1777755600000,2310.32,2342.00,2309.53,2324.56,240905.268,1777759199999,560840862.68073,210604,155869.730,362873263.36893,0
1777759200000,2324.57,2327.43,2316.49,2325.98,83468.712,1777762799999,193850804.37329,120318,43030.305,99938554.84936,0
1777762800000,2325.99,2325.99,2313.12,2315.90,70776.401,1777766399999,164096589.93535,76264,28849.020,66886005.62511,0
1777766400000,2315.91,2316.62,2307.46,2313.01,91497.223,1777769999999,211596839.49604,101212,46826.080,108289279.12135,0
1777770000000,2313.01,2313.39,2301.87,2302.67,95706.212,1777773599999,220658237.73531,110602,45602.464,105140256.76193,0
1777773600000,2302.68,2305.66,2298.02,2302.22,85826.076,1777777199999,197488899.54554,91529,38534.534,88675119.48990,0
1777777200000,2302.23,2303.00,2298.42,2300.65,47392.771,1777780799999,109027899.83856,50131,22947.534,52792497.42178,0
1777780800000,2300.65,2303.42,2296.01,2300.43,51305.195,1777784399999,118004326.54160,61701,27206.020,62581948.83023,0
1777784400000,2300.43,2304.19,2300.20,2302.88,25222.407,1777787999999,58067884.82951,37186,13664.419,31459413.88125,0
1777788000000,2302.89,2305.80,2298.34,2303.40,38184.863,1777791599999,87881739.72968,42909,17508.572,40303962.02955,0
1777791600000,2303.40,2312.98,2303.27,2308.20,74390.280,1777795199999,171771162.72024,87740,40363.368,93201289.82473,0
1777795200000,2308.20,2311.53,2306.37,2307.13,26313.940,1777798799999,60753395.43780,38542,11951.924,27597644.84222,0
1777798800000,2307.13,2321.94,2306.25,2315.56,112242.902,1777802399999,259779968.82459,101779,69340.018,160497851.25325,0
1777802400000,2315.57,2315.78,2310.18,2310.53,39077.042,1777805999999,90359967.64330,50002,15824.797,36590058.87267,0
