open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1782172800000,1727.32,1731.30,1718.61,1730.42,92509.059,1782176399999,159638733.63551,144964,50093.502,86460219.01568,0
1782176400000,1730.41,1735.63,1720.24,1729.82,117095.942,1782179999999,202462831.22514,181399,63174.804,109245682.60778,0
1782180000000,1729.82,1734.36,1725.40,1731.91,49996.008,1782183599999,86514615.82858,108860,26914.154,46578723.73028,0
1782183600000,1731.91,1732.38,1725.02,1729.10,53511.602,1782187199999,92459263.66542,91847,25193.454,43528134.78649,0
1782187200000,1729.09,1730.49,1716.61,1718.44,112850.198,1782190799999,194398765.71605,137511,46355.289,79853914.43201,0
1782190800000,1718.44,1720.64,1709.09,1712.78,222335.224,1782194399999,381107937.58733,263554,106485.685,182535550.36768,0
1782194400000,1712.78,1713.02,1680.00,1691.29,544347.734,1782197999999,921321643.89846,516081,246446.449,416824513.53884,0
1782198000000,1691.29,1695.67,1681.01,1681.96,170294.206,1782201599999,287656665.19579,187932,75178.013,127021247.64393,0
1782201600000,1681.97,1683.88,1633.33,1647.36,907983.564,1782205199999,1503326352.31769,787266,423922.036,701538734.88757,0
1782205200000,1647.35,1653.50,1647.15,1649.94,134610.075,1782208799999,222171406.80108,154492,67537.242,111475427.02655,0
1782208800000,1649.95,1657.96,1648.30,1651.75,130714.005,1782212399999,216076714.18542,149447,75995.647,125626863.86958,0
1782212400000,1651.75,1662.91,1651.66,1659.93,159570.231,1782215999999,264721536.66088,172045,85662.694,142137708.58516,0
1782216000000,1659.93,1661.57,1652.75,1653.63,115281.098,1782219599999,190983938.16957,150279,55994.261,92768688.38981,0
1782219600000,1653.65,1663.33,1643.66,1662.06,391789.402,1782223199999,648235163.79966,452127,195972.360,324278877.08155,0
1782223200000,1662.06,1672.00,1657.05,1661.26,299639.605,1782226799999,498511891.09935,431416,151336.664,251853820.27750,0
1782226800000,1661.27,1662.74,1650.30,1658.90,164913.272,1782230399999,273057628.48366,265096,84286.434,139567404.45479,0
1782230400000,1658.90,1673.60,1656.85,1658.55,214387.869,1782233999999,357045456.29806,243069,114320.612,190403250.38673,0
1782234000000,1658.55,1664.21,1653.57,1656.03,88778.942,1782237599999,147220488.61474,161451,44037.837,73038512.51963,0
1782237600000,1656.03,1659.85,1649.03,1654.65,103501.653,1782241199999,171205122.55846,170157,50653.289,83789665.48754,0
1782241200000,1654.65,1663.30,1654.59,1661.96,71873.202,1782244799999,119271846.14997,152830,40014.132,66401656.27630,0
1782244800000,1661.97,1666.99,1660.46,1663.40,57686.585,1782248399999,95978628.73750,103830,29944.321,49823163.06280,0
1782248400000,1663.40,1667.80,1662.77,1666.05,45334.764,1782251999999,75507133.39380,74457,23643.426,39381424.16647,0
1782252000000,1666.04,1672.12,1662.22,1663.84,75774.663,1782255599999,126254300.54380,109921,33610.958,56014662.43723,0
1782255600000,1663.83,1668.75,1659.27,1666.40,90889.198,1782259199999,151141447.08841,120689,47396.195,78823685.55401,0
