timestamp,open,high,low,close,volume
2025-01-01T00:00:00Z,100,105,99,103,1200
2025-01-01T00:01:00Z,103,108,102,107,980
2025-01-01T00:02:00Z,107,109,104,105,1500
2025-01-01T00:03:00Z,105,106,101,102,2100
2025-01-01T00:04:00Z,102,104,99,101,1600
2025-01-01T00:05:00Z,101,103,98,100,1400
2025-01-01T00:06:00Z,100,106,99,104,1550
2025-01-01T00:07:00Z,104,110,103,109,1700
2025-01-01T00:08:00Z,109,112,107,108,1650
2025-01-01T00:09:00Z,108,107,102,103,1900
2025-01-01T00:10:00Z,103,104,100,101,1750
2025-01-01T00:11:00Z,101,105,100,104,1600
